,username,description,description_lemmatized,hand.label_simplified,acad_prob,gov_prob,media_prob,other_prob,tourbiz_prob
2642,miramarsian,Commissioner of the South Broward Drainage District. Community and education activist. Involved in politics and campaigns.,"['commissioner', 'of', 'the', 'south', 'broward', 'drainage', 'district', '.', 'community', 'and', 'education', 'activist', '.', 'involve', 'in', 'politics', 'and', 'campaign', '.']",other,0.022298122814947,0.3053543437559127,0.0113366444755148,0.6583676289411369,0.0026432600124888
2673,zixian,"@zixian@masthead.social @zixian@universeodon.com Data scientist, patient adherence, digital health researcher, media analyst. Personal views.","['@', 'zixian', '@', 'masthead.social', '@', 'zixian', '@', 'universeodon.com', 'data', 'scientist', ',', 'patient', 'adherence', ',', 'digital', 'health', 'researcher', ',', 'media', 'analyst', '.', 'personal', 'view', '.']",other,0.2972260228322592,0.0020305000629376,0.3174128261041788,0.3825461970194119,0.0007844539812124
2677,Helimo,"Nicaraguan-American, Microbiologist, Left leaning, Cat Lover, Believes in science. Action speaks louder BUT words do matter. #VoteBlue #GetVaccinated #WearAMask","['nicaraguan-american', ',', 'microbiologist', ',', 'leave', 'leaning', ',', 'cat', 'lover', ',', 'believe', 'in', 'science', '.', 'action', 'speak', 'loud', 'but', 'word', 'do', 'matter', '.', '#', 'voteblue', '#', 'getvaccinated', '#', 'wearamask']",other,0.4651081261053061,0.0007513642047439,0.0207424042733655,0.5132580336779566,0.0001400717386279
2687,DavidZaber,"Conservation Biology, Regulatory Ecology, Environmental Toxicology, Sustainable Agriculture. Nature. Coffee.🦦🦥🕊🦡🐋🇺🇦 @djzaber on spoutible","['conservation', 'biology', ',', 'regulatory', 'ecology', ',', 'environmental', 'toxicology', ',', 'sustainable', 'agriculture', '.', 'nature', '.', 'coffee.🦦🦥🕊🦡🐋🇺🇦', '@', 'djzaber', 'on', 'spoutible']",other,0.4513839261687888,0.0039365464027869,0.0282868181991509,0.5153729017618389,0.0010198074674341
2749,alerojasosorio,Estudiante-Master Geomática y Geoinformacion U. Politécnica de Valencia. Geógrafo-Universidad de Chile. ONG Ecogeografía. Amante de los viajes y los animalitos.,"['estudiante-master', 'geomática', 'y', 'geoinformacion', 'u.', 'politécnica', 'de', 'valencia', '.', 'geógrafo-universidad', 'de', 'chile', '.', 'ong', 'ecogeografía', '.', 'amante', 'de', 'los', 'viajes', 'y', 'los', 'animalitos', '.']",other,0.3183150516031095,0.0178948880836462,0.1046060414787234,0.521918026418678,0.0372659924158429
2778,EvanPower,Husband to @TheMelissaPower | @floridagop Chairman of Chairs | @leongop Chairman | ‘16 & ’20 @GOP Convention Delegate | @floridastate and @McCallieSchool Alum,"['husband', 'to', '@', 'themelissapower', '|', '@', 'floridagop', 'chairman', 'of', 'chair', '|', '@', 'leongop', 'chairman', '|', '‘', '', '&', '’', '', '@', 'gop', 'convention', 'delegate', '|', '@', 'floridastate', 'and', '@', 'mccallieschool', 'alum']",other,0.0204687603403383,0.3946903599993674,0.0064308107489346,0.571501683326654,0.0069083855847054
2786,JamesMclynas,"Pinellas County sheriff candidate fighting to end cannabis enforcement, policing for profit, mass incarceration, corruption, and abuse of power. ~Not A Cop~","['pinellas', 'county', 'sheriff', 'candidate', 'fighting', 'to', 'end', 'cannabis', 'enforcement', ',', 'police', 'for', 'profit', ',', 'mass', 'incarceration', ',', 'corruption', ',', 'and', 'abuse', 'of', 'power', '.', '~not', 'a', 'cop~']",other,0.0012192135313224,0.4115587094992939,0.0064310176391026,0.5805538726491135,0.0002371866811674
2798,MinhahaCkWD,"Official local gov't agency managing water resources draining to Lake Minnetonka, Chain of Lakes, & Minnehaha Creek. Retweets/likes/follows are not endorsements","['official', 'local', ""gov't"", 'agency', 'manage', 'water', 'resource', 'drain', 'to', 'lake', 'minnetonka', ',', 'chain', 'of', 'lake', ',', '&', 'minnehaha', 'creek', '.', 'retweets/likes/follows', 'be', 'not', 'endorsement']",other,0.0085354802202953,0.6133357906792781,0.0096815576119724,0.3633882590909452,0.0050589123975088
2804,AdaMariaSoto,"Mexican-American writer of stuff, abroad. Geek from birth. Rugby fan and knitter. Will tweet about everything and anything.","['mexican-american', 'writer', 'of', 'stuff', ',', 'abroad', '.', 'geek', 'from', 'birth', '.', 'rugby', 'fan', 'and', 'knitter', '.', 'will', 'tweet', 'about', 'everything', 'and', 'anything', '.']",other,0.0188251458648158,0.0003774216697,0.4487243839493911,0.5318795732954045,0.0001934752206889
2817,PlanetU_TV,"SUBSCRIBE TO OUR YOUTUBE PAGE:
https://t.co/5TLUKQJMXe","['subscribe', 'to', 'our', 'youtube', 'page', ':', 'http', ':', '//t.co/5tlukqjmxe']",other,0.007332821613232,0.0026573976625901,0.4328238708986535,0.5497568715531299,0.0074290382723943
2837,IrelaBague,Chief Bay Officer - Miami-Dade County #BiscayneBay Presidential Leadership Scholar #PLScholars Water Princess #HRHh2O #TheEnvironmentisTheEconomy,"['chief', 'bay', 'officer', '-', 'miami-dade', 'county', '#', 'biscaynebay', 'presidential', 'leadership', 'scholar', '#', 'plscholars', 'water', 'princess', '#', 'hrhh2o', '#', 'theenvironmentistheeconomy']",other,0.0037089365073695,0.5119067813485143,0.003614217557872,0.4785193868244004,0.0022506777618439
